Time,docker-persistence-1 CPU (%),docker-persistence-1 Mem (MB),docker-image-1 CPU (%),docker-image-1 Mem (MB),docker-webui-1 CPU (%),docker-webui-1 Mem (MB),docker-auth-1 CPU (%),docker-auth-1 Mem (MB),docker-recommender-1 CPU (%),docker-recommender-1 Mem (MB),docker-db-1 CPU (%),docker-db-1 Mem (MB),docker-registry-1 CPU (%),docker-registry-1 Mem (MB)
15:18:44,3.22,1.121,5.84,1.121,8.47,1.511,3.49,1.113,2.24,673.6,0.07,115.8,0.47,345.4
15:18:47,0.1,1.121,0.62,1.121,0.22,1.511,0.53,1.113,1.1,673.7,0.06,115.8,0.31,345.4
15:18:50,0.51,1.121,0.47,1.121,1.27,1.495,0.12,1.113,0.15,673.7,0.05,115.8,0.27,345.4
15:18:53,1.32,1.121,0.98,1.121,0.56,1.495,0.47,1.113,0.55,673.7,0.06,115.8,0.32,345.4
15:18:56,41.45,1.121,31.22,1.121,100.67,1.496,27.1,1.113,3.32,673.7,3.06,115.8,0.45,345.4
15:18:59,55.79,1.121,45.03,1.121,105.98,1.497,21.97,1.113,6.56,673.8,3.77,115.8,0.53,345.4
15:19:02,73.75,1.121,47.01,1.121,138.74,1.497,27.4,1.113,6.58,673.8,4.44,115.8,0.26,345.4
15:19:05,97.5,1.121,60.8,1.121,165.88,1.496,34.77,1.113,9.19,673.8,5.81,115.8,0.36,345.4
15:19:08,127.22,1.121,81.94,1.121,233.0,1.496,47.22,1.113,12.72,673.8,7.23,115.8,0.52,345.4
15:19:12,145.67,1.121,94.66,1.121,268.36,1.496,58.87,1.113,17.56,673.8,9.82,115.8,0.62,345.4
15:19:15,163.06,1.121,111.83,1.121,306.34,1.496,62.07,1.113,24.38,673.8,9.07,115.8,0.38,345.4
15:19:18,194.19,1.121,111.65,1.121,310.26,1.497,63.3,1.113,19.98,673.8,9.74,115.8,0.3,345.4
15:19:21,171.43,1.121,120.66,1.121,340.17,1.498,71.43,1.113,29.56,673.9,10.18,115.8,0.39,345.4
15:19:24,176.83,1.122,129.11,1.121,362.26,1.499,82.91,1.113,25.46,673.9,13.62,115.8,0.59,345.4
15:19:27,191.83,1.124,127.07,1.123,389.49,1.505,82.67,1.114,27.57,673.9,10.6,115.8,0.55,345.4
15:19:30,193.67,1.126,123.95,1.123,404.78,1.514,112.73,1.117,25.06,674.2,15.17,115.8,0.72,345.4
15:19:33,195.2,1.13,132.58,1.123,413.81,1.518,77.48,1.117,32.37,674.0,13.76,115.8,0.66,345.4
15:19:36,190.79,1.13,138.55,1.127,377.6,1.521,96.21,1.118,25.36,674.3,14.29,115.8,0.73,345.4
15:19:39,202.96,1.13,143.68,1.128,404.46,1.746,79.36,1.118,33.88,674.2,14.07,115.8,1.47,345.4
15:19:42,194.08,1.13,152.41,1.128,407.53,1.747,89.76,1.118,29.97,674.3,16.19,115.8,0.4,345.4
15:19:45,112.44,1.13,94.63,1.128,253.7,1.75,41.48,1.118,17.04,674.3,6.94,115.8,0.32,345.4
