Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,3696,242,3,1511,348.55,1.975%,61.06769,745.41,8.65,12499.2
Login,3608,437,5,2214,635.19,3.271%,73.72142,1001.89,35.96,13916.4
List Products,3480,314,6,1722,403.66,2.385%,70.26754,7573.37,17.00,110365.7
Look at Product,3387,422,11,1882,483.90,3.307%,69.26947,6564.43,15.82,97041.0
Add Product to Cart,3264,634,12,2750,763.79,4.075%,66.77441,1883.50,71.91,28883.8
List Products with different page,3112,382,7,2053,452.29,2.378%,63.80056,6917.85,49.63,111031.6
Add Product 2 to Cart,3033,709,13,2731,794.39,5.242%,62.19370,1775.95,106.71,29240.5
Logout,2829,553,4,2198,676.07,4.348%,58.24103,796.03,92.59,13995.9
Buy,862,544,4,2259,681.88,4.408%,18.24841,288.12,35.17,16167.7
TOTAL,27271,456,3,2750,605.76,3.348%,446.02728,22220.03,346.70,51013.3
