Time,docker-persistence-1 CPU (%),docker-persistence-1 Mem (MB),docker-image-1 CPU (%),docker-image-1 Mem (MB),docker-webui-1 CPU (%),docker-webui-1 Mem (MB),docker-auth-1 CPU (%),docker-auth-1 Mem (MB),docker-recommender-1 CPU (%),docker-recommender-1 Mem (MB),docker-db-1 CPU (%),docker-db-1 Mem (MB),docker-registry-1 CPU (%),docker-registry-1 Mem (MB)
15:11:10,0.48,1.11,0.52,1.114,0.64,1.477,0.15,1.102,0.15,673.2,0.06,110.3,0.25,345.3
15:11:13,1.51,1.11,0.99,1.114,2.29,1.468,0.77,1.102,0.53,673.2,0.13,110.3,0.31,345.3
15:11:16,23.38,1.11,16.29,1.114,43.8,1.468,12.18,1.103,3.44,673.2,1.42,110.3,0.38,345.3
15:11:19,32.47,1.111,21.05,1.114,63.49,1.467,21.62,1.103,4.08,673.2,2.06,110.3,0.58,345.3
15:11:22,45.49,1.11,27.58,1.114,83.19,1.467,19.4,1.103,4.15,673.3,2.91,110.3,0.29,345.3
15:11:25,64.84,1.11,38.79,1.114,118.82,1.467,22.47,1.103,7.05,673.2,3.32,110.3,0.31,345.3
15:11:28,89.81,1.111,53.52,1.114,167.97,1.467,31.69,1.103,9.61,673.2,4.68,110.3,0.73,345.3
15:11:32,94.85,1.11,56.34,1.115,174.67,1.467,32.83,1.103,10.35,673.2,5.41,110.3,0.71,345.3
15:11:35,118.88,1.111,78.38,1.114,217.35,1.467,41.81,1.103,11.92,673.2,6.43,110.3,0.33,345.3
15:11:38,139.97,1.111,86.44,1.114,253.34,1.467,47.93,1.103,14.02,673.3,7.12,110.3,0.37,345.3
15:11:41,139.92,1.111,96.01,1.115,264.82,1.467,52.02,1.103,18.95,673.3,7.63,110.3,0.41,345.3
15:11:44,167.68,1.111,110.99,1.115,327.18,1.469,67.86,1.103,24.51,673.3,8.62,110.3,1.25,345.3
15:11:47,168.97,1.111,117.63,1.115,329.05,1.469,66.89,1.103,22.14,673.3,9.61,110.3,0.37,345.3
15:11:50,178.54,1.111,123.38,1.115,343.44,1.469,69.46,1.103,23.13,673.3,9.86,110.3,0.29,345.3
15:11:53,171.76,1.112,131.07,1.115,367.3,1.474,79.6,1.104,26.8,673.3,10.28,110.3,0.7,345.3
15:11:56,180.35,1.114,124.37,1.116,375.01,1.475,77.34,1.107,35.36,673.4,11.95,110.3,0.84,345.3
15:11:59,185.54,1.114,146.03,1.117,378.74,1.476,82.89,1.108,30.38,673.5,13.59,110.3,0.67,345.3
15:12:02,175.28,1.114,132.38,1.117,366.81,1.477,77.66,1.108,29.35,673.5,10.4,110.3,0.28,345.3
15:12:05,183.09,1.114,142.64,1.117,373.08,1.478,69.29,1.108,30.16,673.6,11.45,110.3,0.47,345.3
15:12:08,181.48,1.114,129.82,1.117,385.28,1.479,88.62,1.108,30.71,673.6,13.66,110.3,0.81,345.3
15:12:12,170.69,1.114,128.75,1.118,378.99,1.48,76.77,1.108,42.15,673.8,10.45,110.3,0.92,345.3
15:12:15,0.11,1.114,1.0,1.118,0.43,1.48,0.89,1.108,1.28,673.6,0.05,110.3,0.28,345.3
