Time,docker-persistence-1 CPU (%),docker-persistence-1 Mem (MB),docker-image-1 CPU (%),docker-image-1 Mem (MB),docker-webui-1 CPU (%),docker-webui-1 Mem (MB),docker-auth-1 CPU (%),docker-auth-1 Mem (MB),docker-recommender-1 CPU (%),docker-recommender-1 Mem (MB),docker-db-1 CPU (%),docker-db-1 Mem (MB),docker-registry-1 CPU (%),docker-registry-1 Mem (MB)
15:13:11,0.12,1.114,0.53,1.118,1.55,1.487,0.66,1.108,0.74,673.8,0.07,110.3,0.42,345.3
15:13:15,0.12,1.11,0.92,1.114,0.28,1.478,8.75,1.106,1.28,673.5,0.05,110.3,0.3,345.3
15:13:18,0.49,1.11,0.34,1.114,0.53,1.478,0.13,1.106,0.27,673.5,0.07,110.3,0.21,345.3
15:13:21,10.17,1.11,6.63,1.114,21.41,1.479,4.87,1.106,0.94,673.5,0.81,110.3,0.36,345.3
15:13:24,40.71,1.11,29.03,1.114,106.54,1.481,29.38,1.107,9.64,673.5,3.47,110.3,0.58,345.3
15:13:27,58.91,1.11,37.96,1.114,109.11,1.481,26.4,1.107,6.48,673.5,3.77,110.3,0.5,345.3
15:13:30,80.77,1.11,51.25,1.115,149.16,1.473,31.47,1.107,8.27,673.5,4.75,110.3,0.35,345.3
15:13:33,104.04,1.11,67.92,1.114,191.46,1.471,35.15,1.107,15.16,673.5,5.63,110.3,0.34,345.3
15:13:36,124.19,1.11,81.07,1.115,235.66,1.472,53.06,1.107,13.47,673.5,6.44,110.3,0.52,345.3
15:13:39,144.19,1.11,95.65,1.114,267.69,1.472,53.81,1.107,15.58,673.6,8.01,110.3,1.16,345.3
15:13:42,149.62,1.11,98.89,1.114,276.81,1.472,54.75,1.107,20.85,673.5,8.06,110.3,0.41,345.3
15:13:45,157.39,1.11,107.0,1.114,298.93,1.473,63.63,1.107,16.72,673.5,8.9,110.3,0.26,345.3
15:13:48,171.93,1.11,113.79,1.114,330.48,1.473,70.64,1.107,21.68,673.7,9.18,110.3,0.41,345.3
15:13:51,173.2,1.111,127.85,1.114,347.2,1.497,70.66,1.107,27.73,673.5,9.37,110.3,0.62,345.3
15:13:54,176.86,1.113,127.51,1.116,392.71,1.505,77.56,1.108,27.99,673.6,12.99,110.3,0.56,345.3
15:13:57,186.82,1.115,126.13,1.117,399.98,1.51,81.82,1.109,29.16,673.6,12.91,110.3,0.6,345.3
15:14:01,196.14,1.141,136.86,1.117,399.87,1.497,83.83,1.112,29.92,673.6,12.11,112.9,0.54,345.3
15:14:04,186.75,1.141,143.32,1.119,395.68,1.499,90.4,1.111,29.35,673.5,11.48,112.9,0.67,345.3
15:14:07,198.58,1.142,144.82,1.119,401.34,1.5,81.19,1.112,27.43,673.9,13.79,112.9,0.98,345.3
15:14:10,193.0,1.134,135.94,1.119,392.34,1.499,87.02,1.112,28.54,673.9,11.72,112.9,0.47,345.3
15:14:13,219.94,1.127,137.28,1.119,402.94,1.5,85.67,1.114,35.95,673.8,16.61,113.6,0.77,345.3
15:14:16,0.21,1.126,1.03,1.119,1.93,1.5,1.13,1.114,0.87,673.8,0.06,113.6,0.38,345.3
