Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,3522,160,4,950,185.51,1.590%,57.84771,708.30,8.23,12538.1
Login,3465,257,5,1144,302.30,0.866%,63.60249,881.15,31.57,14186.5
List Products,3432,225,6,1656,251.34,1.777%,63.03609,6786.58,15.35,110245.7
Look at Product,3369,322,10,1556,327.70,2.078%,61.89033,5894.75,14.30,97531.0
Add Product to Cart,3295,413,13,1592,423.08,1.882%,60.15738,1730.84,65.90,29462.4
List Products with different page,3230,274,7,1776,304.59,1.517%,59.37718,6452.78,46.58,111282.5
Add Product 2 to Cart,3175,443,13,1505,428.79,2.142%,58.55665,1719.93,102.52,30077.0
Buy,931,266,4,1258,291.38,2.256%,17.17522,276.05,33.45,16458.1
Logout,3083,275,5,1154,299.59,1.946%,57.60679,801.23,92.49,14242.4
TOTAL,27502,293,4,1776,333.17,1.734%,449.04157,22506.38,364.12,51323.8
