Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,7422,247,3,1511,350.14,1.805%,40.21653,491.56,5.71,12516.3
Login,7261,440,5,2223,626.03,3.347%,41.97886,570.06,20.42,13905.5
List Products,7002,321,6,1722,404.06,2.385%,40.37015,4346.29,9.76,110244.9
Look at Product,6812,425,11,1993,476.37,2.995%,39.39234,3741.33,9.02,97255.4
Add Product to Cart,6581,633,12,2750,745.34,4.467%,38.06070,1069.69,40.84,28779.3
List Products with different page,6259,397,7,2447,463.74,1.997%,36.22002,3937.15,28.28,111309.9
Add Product 2 to Cart,6118,707,12,2731,770.43,5.247%,35.40591,1010.86,60.67,29235.9
Logout,5696,551,4,2198,660.39,4.424%,33.00039,450.52,52.29,13979.7
Buy,1738,539,4,2259,660.01,4.661%,10.14796,159.87,19.50,16132.0
TOTAL,54889,459,3,2750,595.35,3.318%,296.59790,14780.30,230.39,51028.8
