Time,docker-persistence-1 CPU (%),docker-persistence-1 Mem (MB),docker-image-1 CPU (%),docker-image-1 Mem (MB),docker-webui-1 CPU (%),docker-webui-1 Mem (MB),docker-auth-1 CPU (%),docker-auth-1 Mem (MB),docker-recommender-1 CPU (%),docker-recommender-1 Mem (MB),docker-db-1 CPU (%),docker-db-1 Mem (MB),docker-registry-1 CPU (%),docker-registry-1 Mem (MB)
15:20:47,0.47,1.12,0.26,1.12,0.61,1.726,0.57,1.113,0.34,674.2,0.06,115.8,0.26,345.4
15:20:50,1.97,1.12,1.37,1.12,3.68,1.727,0.79,1.113,0.49,674.2,0.2,115.8,0.27,345.4
15:20:53,0.44,1.12,0.59,1.12,1.48,1.727,0.53,1.113,0.57,674.2,0.05,115.8,0.38,345.4
15:20:57,0.1,1.12,0.68,1.12,2.18,1.727,0.73,1.113,1.11,674.2,0.07,115.8,0.43,345.4
15:21:00,8.33,1.12,5.45,1.121,17.33,1.728,5.14,1.113,1.01,674.2,0.91,115.8,0.28,345.4
15:21:03,68.22,1.12,34.76,1.121,105.88,1.728,25.27,1.113,4.98,674.2,3.69,115.8,0.21,345.4
15:21:06,77.29,1.12,48.36,1.121,140.44,1.725,30.9,1.113,8.25,674.2,4.64,115.8,0.41,345.4
15:21:09,91.77,1.12,60.28,1.121,167.85,1.726,39.32,1.113,8.39,674.2,5.62,115.8,0.68,345.4
15:21:12,116.56,1.12,77.36,1.121,215.21,1.726,44.8,1.113,11.81,674.2,6.9,115.8,0.44,345.4
15:21:15,149.01,1.12,99.92,1.121,265.35,1.727,64.58,1.113,15.45,674.2,9.22,115.8,0.48,345.4
15:21:18,161.42,1.12,102.04,1.121,296.01,1.727,57.87,1.113,18.73,674.2,8.36,115.8,0.39,345.4
15:21:21,164.29,1.12,112.92,1.121,307.14,1.728,61.98,1.113,25.51,674.2,8.41,115.8,0.52,345.4
15:21:24,174.47,1.12,121.48,1.121,349.26,1.729,71.71,1.113,25.69,674.2,9.4,115.8,0.75,345.4
15:21:27,177.6,1.12,124.2,1.121,361.82,1.731,75.34,1.114,26.31,674.2,9.47,115.8,0.54,345.4
15:21:30,171.27,1.123,129.5,1.123,388.55,1.742,89.13,1.115,27.91,674.2,12.71,115.8,0.45,345.4
15:21:33,200.65,1.124,121.34,1.124,409.43,1.744,81.5,1.115,30.61,674.2,13.44,115.8,0.79,345.4
15:21:36,186.82,1.127,127.06,1.124,404.24,1.748,86.16,1.116,33.66,674.6,11.22,115.8,0.73,345.4
15:21:40,195.81,1.128,140.24,1.126,393.23,1.749,83.16,1.116,43.66,674.6,14.25,115.8,1.01,345.4
15:21:43,192.22,1.128,134.24,1.126,402.06,1.751,78.72,1.117,34.65,674.7,12.81,115.8,0.47,345.4
15:21:46,189.21,1.129,152.19,1.128,383.87,1.751,76.42,1.117,25.99,674.7,12.36,115.8,0.42,345.4
15:21:49,188.38,1.132,129.93,1.128,394.96,1.753,91.64,1.119,35.11,674.9,12.19,115.8,0.83,345.4
15:21:52,0.11,1.132,0.52,1.128,0.71,1.752,0.47,1.119,0.77,674.9,0.06,115.8,0.26,345.4
15:21:55,1.17,1.132,0.15,1.128,1.31,1.752,0.9,1.119,0.24,674.9,0.06,115.8,0.28,345.4
