Time,docker-persistence-1 CPU (%),docker-persistence-1 Mem (MB),docker-image-1 CPU (%),docker-image-1 Mem (MB),docker-webui-1 CPU (%),docker-webui-1 Mem (MB),docker-auth-1 CPU (%),docker-auth-1 Mem (MB),docker-recommender-1 CPU (%),docker-recommender-1 Mem (MB),docker-db-1 CPU (%),docker-db-1 Mem (MB),docker-registry-1 CPU (%),docker-registry-1 Mem (MB)
15:14:57,0.23,1.126,0.94,1.119,2.88,1.498,0.59,1.116,1.07,673.8,0.06,113.6,0.42,345.3
15:15:00,0.92,1.126,1.14,1.119,2.49,1.498,0.89,1.116,0.79,673.8,0.15,113.6,0.3,345.3
15:15:03,4.54,1.126,2.73,1.119,10.4,1.498,2.15,1.116,0.15,673.8,0.52,113.6,0.27,345.3
15:15:06,8.89,1.126,5.45,1.119,17.69,1.499,4.4,1.116,1.59,673.8,0.77,113.6,0.32,345.3
15:15:09,47.42,1.127,30.42,1.119,87.54,1.515,18.79,1.116,5.22,673.8,3.06,113.6,0.61,345.3
15:15:12,67.46,1.127,44.84,1.119,115.65,1.514,23.73,1.116,6.41,673.8,3.78,113.6,0.3,345.3
15:15:15,89.3,1.126,55.61,1.119,161.63,1.496,31.33,1.116,9.48,673.9,4.42,113.6,0.32,345.3
15:15:18,105.44,1.126,67.44,1.119,195.55,1.496,36.83,1.116,11.13,673.8,5.65,113.6,0.35,345.3
15:15:21,124.9,1.128,79.02,1.12,230.64,1.497,42.9,1.116,15.23,673.9,6.16,113.6,0.61,345.3
15:15:24,144.98,1.128,95.01,1.12,267.33,1.497,57.93,1.116,16.58,673.9,7.54,113.6,0.59,345.3
15:15:27,158.43,1.132,94.23,1.12,284.02,1.497,57.38,1.116,17.04,673.9,8.44,113.6,0.37,345.3
15:15:30,162.07,1.132,112.14,1.12,305.98,1.497,62.1,1.116,16.88,673.9,8.76,113.6,0.34,345.3
15:15:33,175.06,1.133,123.83,1.12,335.69,1.497,64.08,1.116,19.79,673.8,9.98,113.6,0.43,345.3
15:15:36,167.41,1.132,134.05,1.12,346.26,1.495,72.02,1.116,28.3,673.9,10.0,113.6,0.78,345.3
15:15:39,168.59,1.133,142.8,1.12,396.54,1.496,88.86,1.116,28.09,673.9,12.36,113.6,1.01,345.3
15:15:43,184.33,1.133,137.92,1.12,398.7,1.496,81.33,1.116,30.03,673.9,11.83,114.2,0.7,345.3
15:15:46,183.91,1.133,138.6,1.122,398.9,1.498,93.7,1.116,28.67,673.9,10.72,114.2,0.5,345.3
15:15:49,185.85,1.133,136.71,1.122,403.6,1.501,88.97,1.116,29.41,673.9,12.42,114.2,1.33,345.3
15:15:52,188.72,1.133,140.65,1.123,393.4,1.501,84.68,1.116,27.52,673.9,14.38,114.2,0.84,345.3
15:15:55,195.33,1.133,123.51,1.123,383.64,1.501,77.39,1.116,27.68,673.9,12.11,114.2,0.32,345.3
15:15:58,183.59,1.133,145.85,1.138,384.71,1.502,79.67,1.122,30.2,674.0,12.35,114.2,0.53,345.3
15:16:01,0.12,1.133,0.5,1.138,1.44,1.502,0.56,1.122,0.51,674.0,0.06,114.2,0.38,345.3
