Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,3577,144,3,707,175.97,1.202%,58.95636,724.11,8.42,12576.9
Login,3526,230,5,1073,282.18,1.134%,60.17065,831.78,29.78,14155.5
List Products,3484,214,7,1548,246.98,1.148%,64.06532,6988.14,15.68,111696.2
Look at Product,3442,309,10,1259,315.24,1.627%,63.30464,6102.73,14.67,98716.3
Add Product to Cart,3382,390,13,1430,409.87,2.602%,62.22173,1779.01,67.83,29277.6
List Products with different page,3292,267,8,1493,302.73,1.124%,60.34056,6613.45,47.52,112232.5
Add Product 2 to Cart,3251,408,13,1620,411.35,3.783%,61.48812,1779.14,106.37,29629.1
Logout,3112,249,5,986,283.67,0.932%,58.88029,825.60,95.35,14358.3
Buy,940,244,4,963,281.58,1.170%,18.18604,295.04,35.80,16612.8
TOTAL,28006,274,3,1620,320.77,1.667%,459.93661,23237.93,372.79,51736.8
