Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,3359,31,4,208,28.88,0.149%,55.33499,685.37,7.99,12683.0
Login,3354,43,5,247,36.40,0.239%,57.01367,793.73,28.43,14255.9
List Products,3346,64,7,363,55.53,0.359%,57.09800,6282.37,14.12,112668.5
Look at Product,3333,114,11,424,93.46,0.570%,58.64551,5724.30,13.76,99951.2
Add Product to Cart,3314,123,12,436,98.87,0.664%,58.32864,1696.88,64.61,29789.9
List Products with different page,3291,75,5,480,67.99,0.243%,57.94116,6418.76,46.05,113439.5
Add Product 2 to Cart,3283,127,13,424,100.09,0.609%,57.80947,1721.38,102.30,30491.5
Logout,3263,40,5,178,33.99,0.092%,57.44415,810.76,93.60,14452.6
Buy,979,37,4,222,33.09,0.000%,17.27606,282.91,34.23,16769.0
TOTAL,27522,76,4,480,78.39,0.352%,453.17877,23095.49,380.68,52186.4
