Time,docker-persistence-1 CPU (%),docker-persistence-1 Mem (MB),docker-image-1 CPU (%),docker-image-1 Mem (MB),docker-webui-1 CPU (%),docker-webui-1 Mem (MB),docker-auth-1 CPU (%),docker-auth-1 Mem (MB),docker-recommender-1 CPU (%),docker-recommender-1 Mem (MB),docker-db-1 CPU (%),docker-db-1 Mem (MB),docker-registry-1 CPU (%),docker-registry-1 Mem (MB)
15:08:58,0.54,1.103,0.58,1.113,0.81,1.463,0.23,1.103,0.17,667.7,0.06,102.2,0.26,345.3
15:09:01,2.66,1.103,2.02,1.114,27.88,1.464,4.52,1.103,0.62,667.7,0.32,102.2,0.3,345.3
15:09:04,15.7,1.104,30.3,1.114,31.63,1.464,29.8,1.104,1.81,673.0,1.43,102.2,0.42,345.3
15:09:07,37.84,1.105,23.86,1.114,76.16,1.465,19.26,1.105,5.01,673.1,2.31,102.2,0.26,345.3
15:09:10,57.48,1.105,31.38,1.114,93.29,1.466,19.86,1.105,5.23,673.1,2.6,102.2,0.27,345.3
15:09:13,64.81,1.109,43.88,1.114,118.67,1.466,23.41,1.107,6.3,673.1,3.77,102.2,0.39,345.3
15:09:16,87.22,1.109,51.66,1.114,157.01,1.466,29.53,1.107,9.64,673.1,4.51,103.4,0.46,345.3
15:09:19,96.04,1.109,63.39,1.114,186.19,1.466,35.77,1.107,15.71,673.1,5.03,103.4,0.67,345.3
15:09:22,132.5,1.109,77.11,1.114,219.36,1.466,43.02,1.107,13.15,673.1,6.21,103.4,0.32,345.3
15:09:25,137.12,1.109,84.35,1.114,252.01,1.466,48.6,1.107,13.53,673.1,7.48,110.3,0.27,345.3
15:09:28,156.01,1.109,99.63,1.114,282.28,1.467,58.71,1.107,18.01,673.1,8.29,110.3,0.39,345.3
15:09:31,163.6,1.109,109.2,1.114,307.69,1.467,61.63,1.107,21.76,673.1,8.81,110.3,0.59,345.3
15:09:34,175.97,1.109,116.42,1.115,326.98,1.467,68.83,1.107,22.99,673.1,9.8,110.3,0.45,345.3
15:09:37,175.28,1.11,119.16,1.115,355.29,1.469,72.01,1.107,27.64,673.2,10.04,110.3,0.35,345.3
15:09:41,174.49,1.111,123.81,1.115,363.24,1.472,75.18,1.107,24.2,673.1,9.71,110.3,0.34,345.3
15:09:44,186.83,1.112,127.65,1.117,390.63,1.474,81.01,1.107,29.83,673.1,11.82,110.3,0.59,345.3
15:09:47,184.24,1.115,137.3,1.119,392.88,1.476,83.89,1.109,28.22,673.4,11.19,110.3,0.69,345.3
15:09:50,188.83,1.116,133.48,1.119,388.96,1.479,87.14,1.108,28.03,673.4,12.38,110.3,0.94,345.4
15:09:53,178.87,1.116,128.84,1.119,387.42,1.48,82.84,1.11,33.69,673.4,11.52,110.3,0.39,345.3
15:09:56,175.26,1.116,132.97,1.119,383.59,1.48,81.5,1.11,27.63,673.4,11.36,110.3,0.6,345.3
15:09:59,177.8,1.117,141.28,1.122,391.61,1.48,83.77,1.111,25.7,673.4,12.53,110.3,1.12,345.3
15:10:02,0.1,1.116,0.56,1.122,0.41,1.479,0.53,1.111,0.71,673.4,0.05,110.3,0.26,345.3
