Time,docker-persistence-1 CPU (%),docker-persistence-1 Mem (MB),docker-image-1 CPU (%),docker-image-1 Mem (MB),docker-webui-1 CPU (%),docker-webui-1 Mem (MB),docker-auth-1 CPU (%),docker-auth-1 Mem (MB),docker-recommender-1 CPU (%),docker-recommender-1 Mem (MB),docker-db-1 CPU (%),docker-db-1 Mem (MB),docker-registry-1 CPU (%),docker-registry-1 Mem (MB)
15:03:05,0.12,1.102,0.16,1.112,0.2,1.459,0.89,1.101,1.23,645.4,0.06,101.8,0.25,344.9
15:03:08,0.99,1.103,0.59,1.112,0.99,1.46,0.22,1.1,0.53,645.4,0.07,101.8,0.26,344.9
15:03:11,4.39,1.103,2.43,1.112,8.93,1.461,3.05,1.101,0.49,645.4,0.34,102.0,0.4,344.9
15:03:14,68.11,1.104,27.99,1.113,84.27,1.465,24.48,1.102,5.43,645.4,3.11,102.1,0.44,344.9
15:03:17,55.8,1.104,34.1,1.113,106.67,1.466,36.63,1.105,8.15,645.4,2.93,102.1,0.36,344.9
15:03:20,60.18,1.104,36.31,1.113,118.71,1.466,22.21,1.105,5.66,645.5,3.48,102.1,0.23,344.9
15:03:23,76.24,1.104,49.05,1.113,141.16,1.466,26.73,1.105,8.12,645.4,4.09,102.1,0.35,344.9
15:03:26,104.48,1.104,58.81,1.113,202.61,1.466,34.32,1.105,10.82,645.4,4.97,102.1,0.48,344.9
15:03:29,120.17,1.104,77.87,1.113,252.48,1.466,49.34,1.105,14.15,645.4,6.05,102.1,0.63,344.9
15:03:32,136.49,1.104,88.9,1.113,251.63,1.466,48.89,1.105,15.4,645.4,7.26,102.1,4.79,344.9
15:03:35,147.02,1.104,94.91,1.113,272.8,1.467,52.19,1.105,17.8,645.4,7.87,102.1,0.41,344.9
15:03:38,165.59,1.104,115.05,1.114,336.45,1.467,76.92,1.105,21.86,645.4,9.57,102.1,0.57,344.9
15:03:42,169.38,1.104,122.03,1.115,336.18,1.467,66.97,1.105,24.84,645.4,8.77,102.1,0.72,344.9
15:03:45,171.97,1.106,154.67,1.117,380.51,1.471,74.06,1.105,27.02,645.4,11.31,102.1,0.34,344.9
15:03:48,170.19,1.108,130.6,1.117,361.39,1.474,78.7,1.105,30.28,645.5,12.88,102.1,0.29,344.9
15:03:51,174.9,1.111,117.46,1.118,377.29,1.475,75.45,1.105,31.74,645.5,12.51,102.1,0.35,344.9
15:03:54,171.56,1.112,124.98,1.119,381.47,1.476,76.05,1.106,40.15,645.6,13.02,102.1,0.48,344.9
15:03:57,183.34,1.112,132.22,1.12,388.18,1.476,80.0,1.106,31.27,645.7,13.54,102.2,0.56,344.9
15:04:00,186.35,1.112,128.52,1.12,374.59,1.477,82.02,1.106,30.03,645.7,10.52,102.2,0.28,344.9
15:04:03,191.9,1.112,134.8,1.122,376.79,1.477,74.62,1.106,29.41,645.8,10.24,102.2,0.63,344.9
15:04:06,199.99,1.113,143.17,1.122,378.01,1.478,82.77,1.106,28.43,645.8,11.14,102.2,0.54,344.9
15:04:09,0.11,1.112,0.51,1.122,1.41,1.477,0.5,1.106,0.75,645.8,0.05,102.2,0.42,344.9
