Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,3338,35,3,221,29.99,0.060%,54.69262,677.89,7.90,12692.0
Login,3335,49,5,263,38.92,0.150%,56.67913,789.62,28.29,14265.7
List Products,3330,70,7,324,55.65,0.300%,59.33291,6521.80,14.68,112556.9
Look at Product,3320,123,11,412,93.49,0.572%,59.18109,5766.37,13.88,99774.5
Add Product to Cart,3301,133,13,428,99.95,0.606%,59.47962,1731.16,65.88,29803.6
List Products with different page,3281,81,7,433,66.73,0.457%,59.13843,6527.84,46.89,113031.6
Add Product 2 to Cart,3266,141,13,448,105.09,0.643%,58.87761,1752.66,104.17,30482.4
Logout,3245,46,4,228,37.87,0.216%,58.52225,825.25,95.31,14440.0
Buy,972,41,4,169,34.50,0.000%,17.63457,288.82,34.96,16771.3
TOTAL,27388,83,3,448,81.03,0.361%,448.74820,22848.55,376.81,52138.2
