Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,3576,140,4,949,177.26,1.063%,58.63929,721.03,8.39,12591.2
Login,3535,230,5,1392,289.18,1.443%,62.66619,864.20,30.96,14121.5
List Products,3481,206,7,1375,235.98,1.178%,62.05434,6778.57,15.20,111857.7
Look at Product,3439,307,10,1571,320.57,2.413%,61.54149,5905.24,14.18,98258.4
Add Product to Cart,3353,386,12,1592,413.82,2.237%,60.01862,1721.94,65.73,29378.6
List Products with different page,3277,257,8,1442,291.08,1.770%,58.67712,6409.77,45.94,111859.8
Add Product 2 to Cart,3218,413,13,1699,426.32,2.175%,57.62894,1692.26,100.86,30069.6
Logout,3130,248,5,1202,290.10,1.661%,56.07008,782.15,90.53,14284.3
Buy,945,250,4,1296,291.37,1.693%,17.33404,279.95,33.98,16537.9
TOTAL,27954,271,4,1699,323.96,1.731%,456.57820,23038.83,370.41,51670.8
