Time,docker-persistence-1 CPU (%),docker-persistence-1 Mem (MB),docker-image-1 CPU (%),docker-image-1 Mem (MB),docker-webui-1 CPU (%),docker-webui-1 Mem (MB),docker-auth-1 CPU (%),docker-auth-1 Mem (MB),docker-recommender-1 CPU (%),docker-recommender-1 Mem (MB),docker-db-1 CPU (%),docker-db-1 Mem (MB),docker-registry-1 CPU (%),docker-registry-1 Mem (MB)
15:16:43,0.75,1.133,0.69,1.138,1.11,1.5,0.22,1.122,0.17,674.1,0.1,114.2,0.26,345.3
15:16:46,1.06,1.133,1.16,1.138,0.66,1.5,0.84,1.122,0.97,674.1,0.06,114.2,0.35,345.3
15:16:49,7.84,1.133,18.18,1.138,16.23,1.5,4.34,1.122,1.49,674.1,0.82,114.2,2.34,345.5
15:16:52,22.3,1.133,13.27,1.138,41.6,1.5,9.77,1.123,2.39,674.1,1.53,114.2,0.3,345.3
15:16:55,52.46,1.133,35.14,1.138,102.0,1.5,18.68,1.112,4.28,674.1,3.16,115.8,0.26,345.3
15:16:58,71.74,1.133,45.23,1.139,133.12,1.5,29.79,1.117,7.43,674.3,4.36,115.8,0.34,345.3
15:17:01,91.57,1.133,55.0,1.126,166.61,1.511,42.19,1.118,8.92,674.2,5.17,115.8,0.47,345.3
15:17:04,118.61,1.133,78.62,1.126,216.55,1.511,41.58,1.118,20.28,674.2,6.21,115.8,0.68,345.3
15:17:07,136.34,1.133,86.98,1.126,247.44,1.511,50.13,1.118,15.19,674.2,6.99,115.8,0.44,345.3
15:17:10,152.03,1.133,97.21,1.126,282.84,1.514,52.72,1.118,16.19,674.2,7.92,115.8,0.29,345.3
15:17:13,160.51,1.133,107.21,1.126,294.4,1.514,57.81,1.118,22.13,674.2,8.31,115.8,0.32,345.3
15:17:16,169.97,1.133,120.64,1.133,331.34,1.514,64.79,1.118,21.48,674.2,9.44,115.8,0.53,345.3
15:17:19,169.62,1.133,122.81,1.134,358.62,1.513,78.98,1.117,25.97,674.2,9.81,115.8,0.59,345.3
15:17:23,179.54,1.133,131.26,1.134,359.75,1.513,72.13,1.117,22.87,674.2,10.37,115.8,0.27,345.3
15:17:26,181.53,1.135,147.87,1.134,386.19,1.515,83.05,1.118,26.07,669.5,11.47,115.8,1.01,345.3
15:17:29,199.1,1.135,140.71,1.134,404.55,1.516,88.23,1.118,33.95,669.7,11.31,115.8,0.76,345.3
15:17:32,189.06,1.135,139.61,1.134,399.74,1.517,84.65,1.118,25.97,669.5,11.91,115.8,1.09,345.3
15:17:35,190.83,1.135,141.69,1.134,391.11,1.518,87.1,1.118,31.83,669.7,11.89,115.8,0.22,345.3
15:17:38,209.74,1.135,145.33,1.134,406.83,1.52,80.62,1.118,29.37,669.7,13.51,115.8,0.36,345.3
15:17:41,197.42,1.135,153.78,1.135,412.56,1.522,82.93,1.118,29.17,669.5,15.04,115.8,0.98,345.3
15:17:44,72.64,1.135,67.03,1.134,196.28,1.521,30.76,1.114,13.99,669.5,4.86,115.8,0.53,345.3
15:17:47,0.14,1.135,0.37,1.134,0.44,1.521,0.64,1.114,0.99,669.5,0.07,115.8,0.23,345.3
